"Notes"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Classical"	"000.0"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Classical"	"000.0"			0	2320363006	0.0 (Unreliable)
	"El Tor"	"000.1"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"El Tor"	"000.1"			0	2320363006	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Unspecified"	"000.9"			0	2320363006	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1968"	"1968"	7	199533564	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1969"	"1969"	4	201568206	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1970"	"1970"	6	203458035	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1971"	"1971"	4	206782970	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1972"	"1972"	8	209237411	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1973"	"1973"	7	211361965	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1974"	"1974"	3	213436958	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1975"	"1975"	3	215457198	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1976"	"1976"	2	217615788	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1977"	"1977"	3	219808632	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1978"	"1978"	2	222102279	0.0 (Unreliable)
"Total"	"Typhoid fever"	"001"			49	2320363006	0.0
	"Paratyphoid fever A"	"002.0"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Paratyphoid fever A"	"002.0"			0	2320363006	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1968"	"1968"	4	199533564	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1969"	"1969"	1	201568206	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1975"	"1975"	1	215457198	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Paratyphoid fever B"	"002.1"			6	2320363006	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1968"	"1968"	1	199533564	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Paratyphoid fever C"	"002.2"			1	2320363006	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1970"	"1970"	1	203458035	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1971"	"1971"	1	206782970	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1973"	"1973"	1	211361965	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1975"	"1975"	1	215457198	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1978"	"1978"	1	222102279	0.0 (Unreliable)
"Total"	"Paratyphoid fever unspecified"	"002.9"			6	2320363006	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1968"	"1968"	2	199533564	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1978"	"1978"	2	222102279	0.0 (Unreliable)
"Total"	"With food as vehicle of infection"	"003.0"			4	2320363006	0.0 (Unreliable)
	"Without mention of food as vehicle of infection"	"003.9"	"1968"	"1968"	63	199533564	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1969"	"1969"	81	201568206	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1970"	"1970"	80	203458035	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1971"	"1971"	80	206782970	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1972"	"1972"	68	209237411	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1973"	"1973"	75	211361965	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1974"	"1974"	58	213436958	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1975"	"1975"	65	215457198	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1976"	"1976"	61	217615788	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1977"	"1977"	73	219808632	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1978"	"1978"	76	222102279	0.0
"Total"	"Without mention of food as vehicle of infection"	"003.9"			780	2320363006	0.0
	"Shiga"	"004.0"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Shiga"	"004.0"			0	2320363006	0.0 (Unreliable)
	"Flexner"	"004.1"	"1968"	"1968"	3	199533564	0.0 (Unreliable)
