"Notes"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Cholera due to Vibrio cholerae 01, biovar cholerae"	"A00.0"	0	4156214161	0.0 (Unreliable)
	"Cholera due to Vibrio cholerae 01, biovar eltor"	"A00.1"	0	4156214161	0.0 (Unreliable)
	"Cholera, unspecified"	"A00.9"	4	4156214161	0.0 (Unreliable)
	"Typhoid fever"	"A01.0"	3	4156214161	0.0 (Unreliable)
	"Paratyphoid fever A"	"A01.1"	0	4156214161	0.0 (Unreliable)
	"Paratyphoid fever B"	"A01.2"	0	4156214161	0.0 (Unreliable)
	"Paratyphoid fever C"	"A01.3"	0	4156214161	0.0 (Unreliable)
	"Paratyphoid fever, unspecified"	"A01.4"	0	4156214161	0.0 (Unreliable)
	"Salmonella enteritis"	"A02.0"	156	4156214161	0.0
	"Salmonella septicaemia"	"A02.1"	254	4156214161	0.0
	"Localized salmonella infections"	"A02.2"	21	4156214161	0.0
	"Other specified salmonella infections"	"A02.8"	0	4156214161	0.0 (Unreliable)
	"Salmonella infection, unspecified"	"A02.9"	47	4156214161	0.0
	"Shigellosis due to Shigella dysenteriae"	"A03.0"	2	4156214161	0.0 (Unreliable)
	"Shigellosis due to Shigella flexneri"	"A03.1"	0	4156214161	0.0 (Unreliable)
	"Shigellosis due to Shigella boydii"	"A03.2"	0	4156214161	0.0 (Unreliable)
	"Shigellosis due to Shigella sonnei"	"A03.3"	2	4156214161	0.0 (Unreliable)
	"Other shigellosis"	"A03.8"	1	4156214161	0.0 (Unreliable)
	"Shigellosis, unspecified"	"A03.9"	48	4156214161	0.0
	"Enteropathogenic Escherichia coli infection"	"A04.0"	1	4156214161	0.0 (Unreliable)
	"Enterotoxigenic Escherichia coli infection"	"A04.1"	3	4156214161	0.0 (Unreliable)
	"Enteroinvasive Escherichia coli infection"	"A04.2"	1	4156214161	0.0 (Unreliable)
	"Enterohaemorrhagic Escherichia coli infection"	"A04.3"	2	4156214161	0.0 (Unreliable)
	"Other intestinal Escherichia coli infections"	"A04.4"	50	4156214161	0.0
	"Campylobacter enteritis"	"A04.5"	22	4156214161	0.0
	"Enteritis due to Yersinia enterocolitica"	"A04.6"	3	4156214161	0.0 (Unreliable)
	"Enterocolitis due to Clostridium difficile"	"A04.7"	68037	4156214161	1.6
	"Other specified bacterial intestinal infections"	"A04.8"	971	4156214161	0.0
	"Bacterial intestinal infection, unspecified"	"A04.9"	239	4156214161	0.0
	"Foodborne staphylococcal intoxication"	"A05.0"	3	4156214161	0.0 (Unreliable)
	"Botulism"	"A05.1"	41	4156214161	0.0
	"Foodborne Clostridium perfringens [Clostridium welchii] intoxication"	"A05.2"	12	4156214161	0.0 (Unreliable)
	"Foodborne Vibrio parahaemolyticus intoxication"	"A05.3"	13	4156214161	0.0 (Unreliable)
	"Foodborne Bacillus cereus intoxication"	"A05.4"	0	4156214161	0.0 (Unreliable)
	"Other specified bacterial foodborne intoxications"	"A05.8"	1	4156214161	0.0 (Unreliable)
	"Bacterial foodborne intoxication, unspecified"	"A05.9"	7	4156214161	0.0 (Unreliable)
	"Acute amoebic dysentery"	"A06.0"	7	4156214161	0.0 (Unreliable)
	"Chronic intestinal amoebiasis"	"A06.1"	2	4156214161	0.0 (Unreliable)
	"Amoebic nondysenteric colitis"	"A06.2"	1	4156214161	0.0 (Unreliable)
	"Amoeboma of intestine"	"A06.3"	0	4156214161	0.0 (Unreliable)
	"Amoebic liver abscess"	"A06.4"	11	4156214161	0.0 (Unreliable)
	"Amoebic lung abscess"	"A06.5"	1	4156214161	0.0 (Unreliable)
	"Amoebic brain abscess"	"A06.6"	1	4156214161	0.0 (Unreliable)
	"Cutaneous amoebiasis"	"A06.7"	0	4156214161	0.0 (Unreliable)
	"Amoebic infection of other sites"	"A06.8"	4	4156214161	0.0 (Unreliable)
	"Amoebiasis, unspecified"	"A06.9"	16	4156214161	0.0 (Unreliable)
	"Balantidiasis"	"A07.0"	0	4156214161	0.0 (Unreliable)
	"Giardiasis [lambliasis]"	"A07.1"	6	4156214161	0.0 (Unreliable)
	"Cryptosporidiosis"	"A07.2"	24	4156214161	0.0
	"Isosporiasis"	"A07.3"	24	4156214161	0.0
	"Other specified protozoal intestinal diseases"	"A07.8"	0	4156214161	0.0 (Unreliable)
	"Protozoal intestinal disease, unspecified"	"A07.9"	1	4156214161	0.0 (Unreliable)
	"Rotaviral enteritis"	"A08.0"	49	4156214161	0.0
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	69	4156214161	0.0
	"Adenoviral enteritis"	"A08.2"	4	4156214161	0.0 (Unreliable)
	"Other viral enteritis"	"A08.3"	26	4156214161	0.0
	"Viral intestinal infection, unspecified"	"A08.4"	1559	4156214161	0.0
	"Other specified intestinal infections"	"A08.5"	14	4156214161	0.0 (Unreliable)
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	1061	4156214161	0.0
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	2914	4156214161	0.1
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	7936	4156214161	0.2
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	4137	4156214161	0.1
	"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"	"A16.3"	1	4156214161	0.0 (Unreliable)
	"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"	"A16.4"	21	4156214161	0.0
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	89	4156214161	0.0
	"Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"	"A16.7"	12	4156214161	0.0 (Unreliable)
	"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"	"A16.8"	1	4156214161	0.0 (Unreliable)
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	2851	4156214161	0.1
	"Tuberculous meningitis"	"A17.0"	191	4156214161	0.0
	"Meningeal tuberculoma"	"A17.1"	0	4156214161	0.0 (Unreliable)
	"Other tuberculosis of nervous system"	"A17.8"	50	4156214161	0.0
	"Tuberculosis of nervous system, unspecified"	"A17.9"	3	4156214161	0.0 (Unreliable)
	"Tuberculosis of bones and joints"	"A18.0"	933	4156214161	0.0
	"Tuberculosis of genitourinary system"	"A18.1"	31	4156214161	0.0
	"Tuberculous peripheral lymphadenopathy"	"A18.2"	6	4156214161	0.0 (Unreliable)
	"Tuberculosis of intestines, peritoneum and mesenteric glands"	"A18.3"	71	4156214161	0.0
	"Tuberculosis of skin and subcutaneous tissue"	"A18.4"	3	4156214161	0.0 (Unreliable)
	"Tuberculosis of eye"	"A18.5"	0	4156214161	0.0 (Unreliable)
	"Tuberculosis of ear"	"A18.6"	0	4156214161	0.0 (Unreliable)
	"Tuberculosis of adrenal glands"	"A18.7"	8	4156214161	0.0 (Unreliable)
	"Tuberculosis of other specified organs"	"A18.8"	57	4156214161	0.0
	"Acute miliary tuberculosis of a single specified site"	"A19.0"	3	4156214161	0.0 (Unreliable)
	"Acute miliary tuberculosis of multiple sites"	"A19.1"	1	4156214161	0.0 (Unreliable)
	"Acute miliary tuberculosis, unspecified"	"A19.2"	2	4156214161	0.0 (Unreliable)
