(001-009) Intestinal infectious diseases
001   Cholera
001.0       Due to Vibrio cholerae
001.1       Due to Vibrio cholerae el tor
001.9       Cholera, unspecified
002   Typhoid and paratyphoid fevers
002.0       Typhoid fever
002.1       Paratyphoid fever A
002.2       Paratyphoid fever B
002.3       Paratyphoid fever C
002.9       Paratyphoid fever, unspecified
003   Other Salmonella infections
003.0       Salmonella gastro-enteritis
003.1       Salmonella septicaemia
003.2       Localised Salmonella infections
003.20            Localised Salmonella infection, unspecified
003.21            Salmonella meningitis
003.22            Salmonella pneumonia
003.23            Salmonella arthritis
003.24            Salmonella osteomyelitis
003.29            Other
003.8       Other specified Salmonella infections
003.9       Salmonella infection, unspecified
004   Shigellosis
004.0       Shigella dysenteriae
004.1       Shigella flexneri
004.2       Shigella boydii
004.3       Shigella sonnei
004.8       Other specified shigella infections
004.9       Shigellosis, unspecified
005   Other food poisoning (bacterial)
005.0       Staphylococcal food poisoning
005.1       Botulism
005.2       Food poisoning due to Clostridium perfringens [C. welchii]
005.3       Food poisoning due to other Clostridia
005.4       Food poisoning due to Vibrio parahaemolyticus
005.8       Other bacterial food poisoning
005.9       Food poisoning, unspecified
006   Amoebiasis
006.0       Acute amoebic dysentery without mention of abscess
006.1       Chronic intestinal amoebiasis without mention of abscess
006.2       Amoebic nondysenteric colitis
006.3       Amoebic liver abscess
006.4       Amoebic lung abscess
006.5       Amoebic brain abscess
006.6       Amoebic skin ulceration
006.8       Amoebic infection of other sites
006.9       Amoebiasis, unspecified
007   Other protozoal intestinal diseases
007.0       Balantidiasis
007.1       Giardiasis
007.2       Coccidiosis
007.3       Intestinal trichomoniasis
007.8       Other specified protozoal intestinal diseases
007.9       Unspecified protozoal intestinal disease
008   Intestinal infections due to other organisms
008.0       Escherichia coli [E. coli]
008.00            E. coli, unspecified
008.01            Enteropathogenic E. coli
008.02            Enterotoxigenic E. coli
008.03            Enteroinvasive E. coli
008.04            Enterohaemorrhagic E. coli
008.09            Other intestinal E. coli infections
008.1       Arizona group of paracolon bacilli
008.2       Aerobacter aerogenes
008.3       Proteus (mirabilis) (morganii)
008.4       Other specified bacteria
008.41            Staphylococcus
008.42            Pseudomonas
008.43            Campylobacter
008.44            Yersinia enterocolitica
008.45            Clostridium difficile
008.46            Other anaerobes
008.47            Other gram-negative bacteria
008.49            Other
008.5       Bacterial enteritis, unspecified
008.6       Enteritis due to specified virus
008.61            Rotavirus
008.62            Adenovirus
008.63            Norwalk virus
008.64            Other small round viruses [SRVs]
008.65            Calcivirus
008.66            Astrovirus
008.67            Enterovirus NEC
008.69            Other viral enteritis
008.8       Other organism, not elsewhere classified
009   Ill-defined intestinal infections
009.0       Infectious colitis, enteritis and gastro-enteritis
009.1       Colitis, enteritis and gastro-enteritis of presumed infectious origin
009.2       Infectious diarrhoea
009.3       Diarrhoea of presumed infectious origin
(010-018) Tuberculosis
010   Primary tuberculous infection
010.0       Primary tuberculous infection
010.00            Unspecified
010.01            Bacteriological or histological examination not done
010.02            Bacteriological or histological examination unknown (at present)
010.03            Tubercle bacilli found (in sputum) by microscopy
010.04            Tubercle bacilli not found (in sputum) by microscopy, but found by culture
010.05            Tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
010.06            Tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation in animals]
010.1       Tuberculous pleurisy in primary progressive tuberculosis
010.10            Unspecified
010.11            Bacteriological or histological examination not done
010.12            Bacteriological or histological examination unknown (at present)
010.13            Tubercle bacilli found (in sputum) by microscopy
010.14            Tubercle bacilli not found (in sputum) by microscopy, but found by culture
010.15            Tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
010.16            Tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation in animals]
010.8       Other primary progressive tuberculosis
010.80            Unspecified
010.81            Bacteriological or histological examination not done
010.82            Bacteriological or histological examination unknown (at present)
010.83            Tubercle bacilli found (in sputum) by microscopy
010.84            Tubercle bacilli not found (in sputum) by microscopy, but found by culture
010.85            Tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
010.86            Tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation in animals]
010.9       Primary tuberculous infection, unspecified
010.90            Unspecified
010.91            Bacteriological or histological examination not done
010.92            Bacteriological or histological examination unknown (at present)
010.93            Tubercle bacilli found (in sputum) by microscopy
010.94            Tubercle bacilli not found (in sputum) by microscopy, but found by culture
010.95            Tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
010.96            Tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation in animals]
011   Pulmonary tuberculosis
011.0       Tuberculosis of lung, infiltrative
011.00            Unspecified
011.01            Bacteriological or histological examination not done
011.02            Bacteriological or histological examination unknown (at present)
011.03            Tubercle bacilli found (in sputum) by microscopy
011.04            Tubercle bacilli not found (in sputum) by microscopy, but found by culture
011.05            Tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
